Summary,Issue key,Component/s,Component/s,Component/s,Component/s,Description
HTTPFS proxy server needs pluggable-auth support,HDFS-7983,,,,,"Now that WebHDFS has been fixed to support pluggable auth, the httpfs proxy server also needs support."
libhdfs should use doxygen plugin to generate mvn site output,HDFS-9031,,,,,"Rather than point people to the hdfs.h file, we should take advantage of the doxyfile and actually generate for mvn site so it shows up on the website."
Documentation needs to be exposed,HDFS-9464,hdfs-client,,,,"From the few builds I've done, there doesn't appear to be any user-facing documentation that is actually exposed when mvn site is built.  HDFS-8745 allegedly added doxygen support, but even those docs aren't tied into the docs and/or site build. "
No header files in mvn package,HDFS-9465,hdfs-client,,,,The current build appears to only include the shared library and no header files to actually use the library in the final maven binary build.
Update NN/DN min software version to 3.0.0-beta1,HDFS-10398,,,,,"Before we release the first 3.0.0 beta, we need to update the min software version to exclude the alpha releases since we will not support alpha -> beta compatibility. beta->GA compatibility will work though."
"libwebhdfs lacks headers, documentation; not part of mvn package",HDFS-9030,,,,,This library is useless without header files to include and documentation on how to use it.  Both appear to be missing from the mvn package and site documentation.
Test : Hadoop-HdfsTrunk test cases after HDFS-4937,HDFS-9352,,,,,"{noformat}
Stack Trace:
org.apache.hadoop.ipc.RemoteException: File /TestAbandonBlock_test_quota1 could only be replicated to 0 nodes instead of minReplication (=1).  There are 2 datanode(s) running and 1 node(s) are excluded in this operation.
        at org.apache.hadoop.hdfs.server.blockmanagement.BlockManager.chooseTarget4NewBlock(BlockManager.java:1736)
        at org.apache.hadoop.hdfs.server.namenode.FSDirWriteFileOp.chooseTargetForNewBlock(FSDirWriteFileOp.java:299)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:2457)
        at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.addBlock(NameNodeRpcServer.java:796)
        at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.addBlock(ClientNamenodeProtocolServerSideTranslatorPB.java:500)
        at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java)
        at org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker.call(ProtobufRpcEngine.java:637)
        at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:976)
        at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2305)
        at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2301)
        at java.security.AccessController.doPrivileged(Native Method)
        at javax.security.auth.Subject.doAs(Subject.java:422)
        at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1669)
        at org.apache.hadoop.ipc.Server$Handler.run(Server.java:2301)
{noformat}

 https://builds.apache.org/job/Hadoop-Hdfs-trunk-Java8/558/"
Replica recovery doesn't distinguish between flushed-but-corrupted last chunk and unflushed last chunk,HDFS-1103,datanode,,,,"When the DN creates a replica under recovery, it calls validateIntegrity, which truncates the last checksum chunk off of a replica if it is found to be invalid. Then when the block recovery process happens, this shortened block wins over a longer replica from another node where there was no corruption. Thus, if just one of the DNs has an invalid last checksum chunk, data that has been sync()ed to other datanodes can be lost."
Secondary NameNode failed to rollback from 2.4.1 to 2.2.0,HDFS-7114,namenode,,,,"Can upgrade from 2.2.0 to 2.4.1, but failed to rollback the secondary namenode with following issue.

2014-09-22 10:41:28,358 FATAL org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode: Failed to start secondary namenode
org.apache.hadoop.hdfs.server.common.IncorrectVersionException: Unexpected version of storage directory /var/hadoop/tmp/hdfs/dfs/namesecondary. Reported: -56. Expecting = -47.
        at org.apache.hadoop.hdfs.server.common.Storage.setLayoutVersion(Storage.java:1082)
        at org.apache.hadoop.hdfs.server.common.Storage.setFieldsFromProperties(Storage.java:890)
        at org.apache.hadoop.hdfs.server.namenode.NNStorage.setFieldsFromProperties(NNStorage.java:585)
        at org.apache.hadoop.hdfs.server.common.Storage.readProperties(Storage.java:921)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode$CheckpointStorage.recoverCreate(SecondaryNameNode.java:913)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.initialize(SecondaryNameNode.java:249)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.<init>(SecondaryNameNode.java:199)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.main(SecondaryNameNode.java:652)
2014-09-22 10:41:28,360 INFO org.apache.hadoop.util.ExitUtil: Exiting with status 1
2014-09-22 10:41:28,363 INFO org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode: SHUTDOWN_MSG:"
Failed to rollback hdfs version from 2.4.1 to 2.2.0,HDFS-7053,ha,namenode,,,"I can successfully upgrade from 2.2.0 to 2.4.1 with QJM HA enabled and with downtime, but failed to rollback from 2.4.1 to 2.2.0. The error message:
 2014-09-10 16:50:29,599 FATAL org.apache.hadoop.hdfs.server.namenode.NameNode: Exception in namenode join
 org.apache.hadoop.HadoopIllegalArgumentException: Invalid startup option. Cannot perform DFS upgrade with HA enabled.
              at org.apache.hadoop.hdfs.server.namenode.NameNode.createNameNode(NameNode.java:1207)
               at org.apache.hadoop.hdfs.server.namenode.NameNode.main(NameNode.java:1320)
 2014-09-10 16:50:29,601 INFO org.apache.hadoop.util.ExitUtil: Exiting with status 1
"
Failed to rolling upgrade hdfs from 2.2.0 to 2.4.1,HDFS-7002,journal-node,namenode,qjm,,
Unable to reset password,HDFS-6241,,,,,"I tried emailing root@apache.org - as indicated in INFRA-5241 - about these difficulties but it seems to be bouncing. Here is the email that I sent:

Greetings -

I am trying to reset my password and have encountered the following problems:

1. it seems that the public key associated with my account is erroneously that of the lead of our project (Knox). His must have set up my account in the beginning and provided his key maybe? Anyway, this means that he has to decrypt my email.

2. Once he does decrypt it and I follow the link to reset it - I get a No Such Token error message and am unable to reset my password.

The email below indicated that I should email root with problems.

Please let me know if I should file and Infra jira. I did find a similar one there that told them to email root. So, that is where I am starting.

We are in the process of trying to get a release out - so I would greatly appreciate the help here.

thanks!

--larry


Hi Larry McCay,

96.235.186.40 has asked Apache ID <https://id.apache.org>

to initiate a password reset for your apache.org account 'lmccay'.

If you requested this password reset, please use the following link to

reset your Apache LDAP password:

<deleted-url>

If you did not request this password reset, please email root@apache.org --- but

delete the above URL from the text of the reply email before sending it.

This link will expire at 2014-04-14 14:31:25 +0000, and can only be used from 96.235.186.40.

--

Best Regards,

Apache Infrastructure"
CLONE - Unable to reset password,HDFS-6242,,,,,"I tried emailing root@apache.org - as indicated in INFRA-5241 - about these difficulties but it seems to be bouncing. Here is the email that I sent:

Greetings -

I am trying to reset my password and have encountered the following problems:

1. it seems that the public key associated with my account is erroneously that of the lead of our project (Knox). His must have set up my account in the beginning and provided his key maybe? Anyway, this means that he has to decrypt my email.

2. Once he does decrypt it and I follow the link to reset it - I get a No Such Token error message and am unable to reset my password.

The email below indicated that I should email root with problems.

Please let me know if I should file and Infra jira. I did find a similar one there that told them to email root. So, that is where I am starting.

We are in the process of trying to get a release out - so I would greatly appreciate the help here.

thanks!

--larry


Hi Larry McCay,

96.235.186.40 has asked Apache ID <https://id.apache.org>

to initiate a password reset for your apache.org account 'lmccay'.

If you requested this password reset, please use the following link to

reset your Apache LDAP password:

<deleted-url>

If you did not request this password reset, please email root@apache.org --- but

delete the above URL from the text of the reply email before sending it.

This link will expire at 2014-04-14 14:31:25 +0000, and can only be used from 96.235.186.40.

--

Best Regards,

Apache Infrastructure"
namenode OOMs under Bigtop's TestCLI,HDFS-4940,,,,,"Bigtop's TestCLI when executed against Hadoop 2.1.0 seems to make it OOM quite reliably regardless of the heap size settings. I'm attaching a heap dump URL. Alliteratively anybody can just take Bigtop's tests, compiled them against Hadoop 2.1.0 bits and try to reproduce it.  "
Hftp should support both SPNEGO and KSSL,HDFS-3983,security,,,,"Hftp currently doesn't work against a secure cluster unless you configure {{dfs.https.port}} to be the http port, otherwise the client can't fetch tokens:

{noformat}
$ hadoop fs -ls hftp://c1225.hal.cloudera.com:50070/
12/09/26 18:02:00 INFO fs.FileSystem: Couldn't get a delegation token from http://c1225.hal.cloudera.com:50470 using http.
ls: Security enabled but user not authenticated by filter
{noformat}

This is due to Hftp still using the https port. Post HDFS-2617 it should use the regular http port. Hsftp should still use the secure port, however now that we have HADOOP-8581 it's worth considering removing Hsftp entirely. I'll start a separate thread about that.  

"
Enable retries for create and append operations.,HDFS-4849,namenode,,,,"create, append and delete operations can be made retriable. This will reduce chances for a job or other app failures when NN fails over."
want to integrate oracle nosql to hadoop 1.0.3,HDFS-4907,datanode,,,,"I had been asked by my customer to integrate oracle nosql with hadoop 1.0.3.
How to go about"
HA: Transition to active can cause NN deadlock,HDFS-2823,ha,namenode,,,"On transition to active, we have to take the FSNS write lock. In {{EditLogTailer#stop}}, we interrupt the edit log tailer thread and then join on that thread. When tailing edits, the edit log tailer thread acquires the FSNS write lock interruptibly, precisely so that we avoid deadlocks on transition to active. However, the edit log tailer thread now also triggers edit log rolls. Several places in {{ipc.Client}} catch and ignore {{InterruptedException}}, and in so doing may cause the {{Thread#interrupt}} call to be missed by the edit log tailer thread."
Datanode is going OOM due to small files in hdfs,HDFS-4630,datanode,namenode,,,"Hi, 

We have very small files(size ranging 10KB-1MB) in our hdfs and no of files are in tens of millions. Due to this namenode and datanode both going out of memory very frequently. When we analyse the head dump of datanode most of the memory was used by ReplicaMap. 

Can we use EhCache or other to not to store all the data in memory? 

Thanks
Ankush"
TestBlockTokenWithDFS fails on trunk,HDFS-1469,namenode,,,,"TestBlockTokenWithDFS is failing on trunk:

Testcase: testAppend took 31.569 sec
  FAILED
null
junit.framework.AssertionFailedError: null
  at org.apache.hadoop.hdfs.server.namenode.TestBlockTokenWithDFS.testAppend(TestBlockTokenWithDFS.java:223)"
Hadoop mapreduce job to process S3 logs gets hung at INFO mapred.JobClient:  map 0% reduce 0%.,HDFS-2583,,,,,"I am trying to run a mapreduce job to process the Amazon S3 logs. However, the code hangs at INFO mapred.JobClient:  map 0% reduce 0% and does not even attempt to launch the tasks. The sample code for the job setup is given below:
public int run(CommandLine cl) throws Exception 
{
       Configuration conf = getConf();
       String inputPath = """";
       String outputPath = """";
       try
       {
           Job job = new Job(conf, ""Dummy"");
           job.setNumReduceTasks(0);
           job.setMapperClass(Mapper.class);
           inputPath = cl.getOptionValue(""input""); //input is an s3n path
           outputPath = cl.getOptionValue(""output"");
           FileInputFormat.setInputPaths(job, inputPath);
           FileOutputFormat.setOutputPath(job, new Path(outputPath));
           _log.info(""Input path set as "" + inputPath);
           _log.info(""Output path set as "" + outputPath);
           job.waitForCompletion(true);
           return 0;
       } catch (Exception ex)
       {
           _log.error(ex);
           return 1;
       }
}
The above code works on the staging machine. However, it fails on the production machine which is same as the staging machine with more capacity.

Does anyone know what could be the possible reason for the error? 

Thanks in advance!

Nitika"
bin/hdfs conflicts with common user shortcut,HDFS-1253,,,,,The 'hdfs' command introduced in 0.21 (unreleased at this time) conflicts with a common user alias and wrapper script.  This change should either be reverted or moved from $HADOOP_HOME/bin to somewhere else in $HADOOP_HOME (perhaps sbin?) so that users do not accidentally hit it.
JMX values for RPC Activity is always zero,HDFS-2244,,,,,jconsole is showing that the RPC metrics gathered for the datanode is always zero.  Other metrics for the DN appears fine.
TestAuthorizationFilter is failing,HDFS-1666,contrib/hdfsproxy,,,,two test cases were failing for a number of builds (see attached logs)
HDFS build is broken: hadoop-core snapshot can't be resolved.,HDFS-749,,,,,"{noformat}
ivy-resolve-common:
[ivy:resolve] :: resolving dependencies :: org.apache.hadoop#Hadoop-Hdfs;0.22.0-SNAPSHOT
[ivy:resolve]   confs: [common]
[ivy:resolve]   found commons-logging#commons-logging;1.0.4 in maven2
[ivy:resolve]   found log4j#log4j;1.2.15 in maven2
[ivy:resolve]   found org.aspectj#aspectjrt;1.6.4 in maven2
[ivy:resolve]   found org.aspectj#aspectjtools;1.6.4 in maven2
[ivy:resolve] :: resolution report :: resolve 3088ms :: artifacts dl 30ms
        ---------------------------------------------------------------------
        |                  |            modules            ||   artifacts   |
        |       conf       | number| search|dwnlded|evicted|| number|dwnlded|
        ---------------------------------------------------------------------
        |      common      |   5   |   0   |   0   |   0   ||   4   |   0   |
        ---------------------------------------------------------------------
[ivy:resolve] 
[ivy:resolve] :: problems summary ::
[ivy:resolve] :::: WARNINGS
[ivy:resolve]           module not found: org.apache.hadoop#hadoop-core;0.22.0-SNAPSHOT
[ivy:resolve]   ==== apache-snapshot: tried
[ivy:resolve]     https://repository.apache.org/content/repositories/snapshots/org/apache/hadoop/hadoop-core/0.22.0-SNAPSHOT/hadoop-core-0.22.0-SNAPSHOT.pom
[ivy:resolve]     -- artifact org.apache.hadoop#hadoop-core;0.22.0-SNAPSHOT!hadoop-core.jar:
[ivy:resolve]     https://repository.apache.org/content/repositories/snapshots/org/apache/hadoop/hadoop-core/0.22.0-SNAPSHOT/hadoop-core-0.22.0-SNAPSHOT.jar
[ivy:resolve]   ==== maven2: tried
[ivy:resolve]     http://repo1.maven.org/maven2/org/apache/hadoop/hadoop-core/0.22.0-SNAPSHOT/hadoop-core-0.22.0-SNAPSHOT.pom
[ivy:resolve]     -- artifact org.apache.hadoop#hadoop-core;0.22.0-SNAPSHOT!hadoop-core.jar:
[ivy:resolve]     http://repo1.maven.org/maven2/org/apache/hadoop/hadoop-core/0.22.0-SNAPSHOT/hadoop-core-0.22.0-SNAPSHOT.jar
[ivy:resolve]           ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve]           ::          UNRESOLVED DEPENDENCIES         ::
[ivy:resolve]           ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve]           :: org.apache.hadoop#hadoop-core;0.22.0-SNAPSHOT: not found
[ivy:resolve]           ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] 
[ivy:resolve] :: USE VERBOSE OR DEBUG MESSAGE LEVEL FOR MORE DETAILS

BUILD FAILED
/homes/cos/work/Hdfs.trunk/build.xml:1337: impossible to resolve dependencies:
{noformat}"
TestFileCreation times out,HDFS-1376,,,,,"I see TestFileCreation periodically time out on a host when ant test runs but w/o anything thing else running. 

{noformat}
Testsuite: org.apache.hadoop.hdfs.TestFileCreation
Tests run: 1, Failures: 0, Errors: 1, Time elapsed: 0 sec

Testcase: testFileCreationNonRecursive took 0.002 sec
        Caused an ERROR
Timeout occurred. Please note the time in the report does not reflect the time until the timeout.
junit.framework.AssertionFailedError: Timeout occurred. Please note the time in the report does not reflect the time until the timeout.
{noformat}"
