0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-7983				
0	HDFS-9031				
0	HDFS-9464	hdfs-client			
0	HDFS-9465	hdfs-client			
0	HDFS-10398				
0	HDFS-9030				
0	HDFS-9352				
0	HDFS-1103	datanode			
0	HDFS-7114	namenode			
0	HDFS-7053	ha	namenode		
0	HDFS-6241				
0	HDFS-6242				
0	HDFS-4940				
0	HDFS-3983	security			
0	HDFS-4849	namenode			
0	HDFS-4907	datanode			
0	HDFS-2823	ha	namenode		
0	HDFS-4630	datanode	namenode		
0	HDFS-1469	namenode			
0	HDFS-2583				
0	HDFS-1253				
0	HDFS-2244				
0	HDFS-1666	contrib/hdfsproxy			
0	HDFS-749				
1	HDFS-1376				
0	HDFS-834				
0	HDFS-833				
0	HDFS-743	namenode			
0	HDFS-1288	scripts			
0	HDFS-1002				
0	HDFS-784				
0	HDFS-7231				
0	HDFS-13737				
0	HDFS-7913				
0	HDFS-12970	hdfs			
0	HDFS-12923	erasure-coding			
0	HDFS-12918	hdfs			
0	HDFS-12715	auto-failover			
0	HDFS-12442	webhdfs			
0	HDFS-9126	namenode			
0	HDFS-12098	datanode	ozone	scm	
1	HDFS-12272	block placement			
0	HDFS-9045				
0	HDFS-3153				
0	HDFS-4368				
0	HDFS-10340	datanode			
0	HDFS-10563	namenode			
0	HDFS-4539	security			
0	HDFS-8708				
0	HDFS-2288	datanode			
0	HDFS-2433	datanode	namenode	test	
0	HDFS-8474	build	libhdfs		
1	HDFS-8315				
0	HDFS-1262	hdfs-client	namenode		
0	HDFS-60	datanode			
0	HDFS-3509				
0	HDFS-5850				
1	HDFS-2984	benchmarks			
0	HDFS-3771	namenode			
0	HDFS-4457	webhdfs			
0	HDFS-4425	namenode			
0	HDFS-2674				
1	HDFS-74				
0	HDFS-63				
0	HDFS-183				
0	HDFS-191				
0	HDFS-329				
1	HDFS-162				
0	HDFS-2600	contrib/raid			
0	HDFS-2326				
1	HDFS-2262	datanode			
0	HDFS-768	build			
0	HDFS-1401	hdfs-client			
1	HDFS-40				
0	HDFS-14159	hdfs			
0	HDFS-10369	fs			
0	HDFS-14100				
0	HDFS-13084				
0	HDFS-3455	documentation			
0	HDFS-11255	httpfs			
0	HDFS-14031	block placement			
0	HDFS-13365				
0	HDFS-7307				
0	HDFS-7777				
0	HDFS-7850				
0	HDFS-7904	nfs			
0	HDFS-8251				
0	HDFS-9055	webhdfs			
0	HDFS-9056	webhdfs			
0	HDFS-9058	webhdfs			
0	HDFS-9061	webhdfs			
0	HDFS-9778	erasure-coding			
0	HDFS-10509	build	documentation		
1	HDFS-13672				
0	HDFS-13031	hdfs			
0	HDFS-13803				
1	HDFS-13764	documentation			
0	HDFS-13751	hdfs			
0	HDFS-10357	ozone			
0	HDFS-11139	ozone			
0	HDFS-13595	ha	namenode		
0	HDFS-5123	ha			
0	HDFS-13430				
0	HDFS-6589	hdfs-client			
0	HDFS-13501				
0	HDFS-11515	namenode	shell		
0	HDFS-13354				
1	HDFS-3653	namenode			
0	HDFS-3069	namenode			
0	HDFS-5058	qjm			
0	HDFS-12707				
0	HDFS-10205	hdfs-client			
0	HDFS-13397	hdfs			
0	HDFS-7304				
0	HDFS-10388	fs			
0	HDFS-6308				
0	HDFS-12260				
0	HDFS-12928				
0	HDFS-6132				
1	HDFS-13169				
0	HDFS-10799	namenode			
0	HDFS-12921	erasure-coding			
0	HDFS-4411	build			
0	HDFS-4262	datanode			
0	HDFS-4312				
0	HDFS-5012				
0	HDFS-3821	namenode			
0	HDFS-9808				
1	HDFS-11125	datanode	namenode		
0	HDFS-4796				
0	HDFS-5831				
1	HDFS-12464	HDFS-7240			
0	HDFS-11924	security			
1	HDFS-12294	hdfs			
0	HDFS-12295	hdfs	namenode		
0	HDFS-8295				
0	HDFS-9604				
0	HDFS-9386	erasure-coding			
0	HDFS-12202	hdfs	hdfs-client		
0	HDFS-11459				
0	HDFS-9590				
0	HDFS-11944	encryption	test		
0	HDFS-11812				
0	HDFS-7239				
0	HDFS-11731	balancer & mover			
0	HDFS-11872	ozone			
1	HDFS-11819				
1	HDFS-11820	hdfs			
0	HDFS-361				
0	HDFS-10459				
0	HDFS-11284	datanode	namenode		
0	HDFS-594	hdfs-client			
0	HDFS-11501				
0	HDFS-5779				
0	HDFS-11367	hdfs-client			
0	HDFS-8796	namenode			
0	HDFS-11297	erasure-coding			
0	HDFS-8519				
0	HDFS-8518				
0	HDFS-11245	hdfs			
0	HDFS-7958	namenode			
1	HDFS-11179	namenode			
